name;streetAddress;postalCode;addressLocality;addressRegion;addressCountry;geo_latitude;geo_longitude;url
Früchtle vom Schmidener Feld;Höhe 1;70736;Fellbach;Baden-Württemberg;Deutschland;48.818891;9.254811;https://hofladen.info/hofladen/fruchtle-vom-schmidener-feld
Biohof Klügel;Deubener Weg 30;01705;Freital;Sachsen;Deutschland;50.997018;13.615762;https://hofladen.info/hofladen/biohof-klugel
Stapf's Hoflädle;Birkenhöfe 2;74626;Bretzfeld ;Baden-Württemberg;Deutschland;49.189550;9.426070;https://hofladen.info/hofladen/stapf-s-hofladle
Straußenhof Berkenlatten;Berkenlatten 7;17268;Gerswalde;Brandenburg;Deutschland;53.140410;13.758550;https://hofladen.info/hofladen/strau%C3%9Fenhof-berkenlatten
Thomahof Brandl;Brandl 4 ;83549 ;Königsdorf;Bayern;Deutschland;47.816392;11.481009;https://hofladen.info/hofladen/thomahof-brandl
So Bio Laden-Weckelweiler Werkstätten;Heinstr. 16;74592 ;Kirchberg/Jagst;Baden-Württemberg;Deutschland;49.206091;9.983054;https://hofladen.info/hofladen/so-bio-laden-weckelweiler-werkstatten
Lübbes Kartoffelscheune;Dorfstr. 29;31303;Burgdorf;Niedersachsen;Deutschland;52.443710;9.976520;https://hofladen.info/hofladen/lubbes-kartoffelscheune
Damwildhof Jäger;Bergweg 5;97514 ;Oberaurach;Bayern;Deutschland;49.928420;10.650820;https://hofladen.info/hofladen/damwildhof-jager
Harkopfs Hofladen;Rodenberger Straße 20;31655;Stadthagen;Niedersachsen;Deutschland;52.315677;9.237331;https://hofladen.info/hofladen/harkopfs-hofladen
Hofkäserei Moser;Ittendorfer Straße 16;88697;Bermatingen-Ahausen;Baden-Württemberg;Deutschland;47.721177;9.325096;https://hofladen.info/hofladen/hofkaserei-moser
Birkenhof;Birkenhof;72411;Bodelshausen;Baden-Württemberg;Deutschland;48.405540;8.972970;https://hofladen.info/hofladen/birkenhof
Direktvermarktung Gebhardt - Fisch - Fleisch - Forellenzucht;Schafgasse 9 Fisch - Fleisch - Forellenzucht;99820;Hörselberg-Hainich;Thüringen;Deutschland;50.944574;10.478939;https://hofladen.info/hofladen/direktvermarktung-gebhardt-fisch-fleisch-forellenzucht
Agrar GmbH Kraatz;Buberower Weg 10;16775;Gransee;Brandenburg;Deutschland;52.973950;13.187977;https://hofladen.info/hofladen/agrar-gmbh-kraatz
Eltersdorfer Hofladen;Weinstraße 30 ;91058 ;Erlangen;Bayern;Deutschland;49.552514;11.000640;https://hofladen.info/hofladen/eltersdorfer-hofladen
Obst- und Gemüsehof Müller;Große Gaß 11;79576;Weil a. Rh.;Baden-Württemberg;Deutschland;47.615521;7.617894;https://hofladen.info/hofladen/obst-und-gemusehof-muller
Ziegenhof Schleckweda;Elsterweg 4;06722;Wetterzeube;Sachsen-Anhalt;Deutschland;51.009840;12.023410;https://hofladen.info/hofladen/ziegenhof-schleckweda
Agrarhof Gospersgrün;Schulstr. 1;8427;Fraureuth;Sachsen;Deutschland;50.680913;12.363245;https://hofladen.info/hofladen/agrarhof-gospersgrun
